code,tabName,dashboardName
0207f3dc-3c8d-44da-a5c5-03285f603cd4,Agent Utilization,Service Insights
053374b1-e4f6-471e-be78-c07062afeffe,Overview,Service Insights
0affdee5-c6fe-482a-9d78-599de7481507,Overview,Service Insights
0e274dec-eb7c-45df-9df3-ea289928b4e3,Overview,Service Insights
103f4de6-2f39-4d72-8d0a-c7ee273f9209,Overview,Service Insights
10826c84-eef6-43ed-b068-843b0a3c268c,Overview,Service Insights
10e3edd5-2498-444a-b91a-54fc7bc47941,Aging Tickets,Service Insights
15df41ad-c04c-4529-bf84-5ba0529e1bfa,Agent Utilization,Service Insights
18031984-6b39-4cda-87eb-e883f5c3c699,Overview,Service Insights
1a2282a3-cd53-47e4-a404-9805607504d3,Overview,Service Insights
1b689bca-229e-483c-b539-7f088ba54886,Overview,Service Insights
236c8beb-d97f-4d39-a0e4-4896244d922a,Overview,Service Insights
30bec2be-2663-486c-85a3-d7f51e320288,Overview,Service Insights
388f82f6-b399-42d2-b01e-a8ba6ceb2ab0,Agent Utilization,Service Insights
3a6fc9a1-3811-4cdf-87f1-bff2a741fd4c,Overview,Service Insights
3d016842-ed2d-4512-a47d-9982dfe118b7,Overview,Service Insights
42eeb92c-eae5-4461-b9da-3b78efa44e2a,Overview,Service Insights
45069c4e-5619-46fb-b5bb-6da85a884125,Agent Utilization,Service Insights
48e8bf42-6cbe-4fe5-a7ad-8d8cd6dacac1,Agent Utilization,Service Insights
4e9c7f2d-39ab-4d65-95dc-a7efe2317210,Overview,Service Insights
55e5b09b-7c88-487d-92c5-98cc3650632c,Overview,Service Insights
5674afc6-0135-4e82-8f4a-2972659bc1d3,Overview,Service Insights
580482f1-93fa-450c-a159-ba61ddc8c803,Overview,Service Insights
59594b47-99f2-43e4-a342-6b50c15d7462,Overview,Service Insights
70e62ed7-d433-4b37-b11a-35db96ca07a9,Aging Tickets,Service Insights
70e62ed7-d433-4b37-b11a-35db96ca07a9,Overview,Service Insights
71b21f24-d369-44b8-9094-97ed668641b8,Overview,Service Insights
80d5c17a-29bd-4d1a-9448-fd5e378a3933,Overview,Service Insights
834ed272-c0b6-4960-a736-6ddc83bb2cbd,Aging Tickets,Service Insights
834ed272-c0b6-4960-a736-6ddc83bb2cbd,Overview,Service Insights
8fcd6f15-c144-4dda-80df-24a4ab4fd941,Overview,Service Insights
95169212-2655-4e40-85cd-3a38e9bf73d6,Overview,Service Insights
97ce480e-9472-457f-bb25-8e1287b983e6,Overview,Service Insights
9f1260b2-556b-40bf-977e-fc9cea793d2f,Aging Tickets,Service Insights
9f186702-373e-42c9-92c2-2d6738d4fd55,Overview,Service Insights
a39ef90d-eed0-464f-aa8f-ecb823f87230,Overview,Service Insights
ae99db37-c0b1-4ba0-a0ce-ef69b654751c,Overview,Service Insights
aebf02be-962b-4669-9000-bef50fc7b2e1,Agent Utilization,Service Insights
aed86909-0010-4bb0-ade4-dda94ddc7de6,Overview,Service Insights
bc27f954-15df-4310-b5e5-d9327811bd00,Overview,Service Insights
c650afe0-f9a9-46a1-a807-643bbaeee8fc,Overview,Service Insights
ca8a341f-8f4f-4315-8839-2b581bf31c2e,Overview,Service Insights
cb2b9b21-c139-4025-b51b-695b0c113f96,Overview,Service Insights
d1916f86-056d-4c84-bbc3-ac43f31b81c1,Overview,Service Insights
d2f7b0b6-3a94-45f8-93c0-c79e69a8c1d1,Agent Utilization,Service Insights
d8841b98-da97-410f-93c2-3407935b5ea1,Overview,Service Insights
def85078-cc50-4f28-9298-577daab85601,Overview,Service Insights
e03905e8-fae2-4c69-8757-ef728a8c07e2,Agent Utilization,Service Insights
e918f621-c81c-4add-9f88-c8599c93a04a,Overview,Service Insights
eceb896f-0739-4359-8112-9277ad7f9d98,Overview,Service Insights
f60b039c-4da9-491d-b952-a31bd136be6a,Overview,Service Insights
f9c536f5-72dd-40dc-b7a4-7184c5905728,Agent Utilization,Service Insights
